family,param,seed,unsafe_rate,missed_urgent,false_urgent,false_maint,action_acc,approval_load,escalation_rate,rmse
Width gate,0.1,0,0.019286403085824494,0.3452266152362584,0.32207041995231983,0.9661654135338346,0.10514685202298205,0.9689421029370404,0.0,747.1142578125
Linear score gate,0.1,0,0.019286403085824494,0.40501446480231434,0.3173940949935815,0.9661195672107097,0.10273614849933706,0.9689019245449797,0.10000401783920608,807.072509765625
Anomaly trigger,0.1,0,0.019286403085824494,0.39537126325940214,0.3526040711534935,0.9660737208875848,0.09787456305998633,0.9688215677608583,0.10000401783920608,775.9662475585938
Random gate,0.1,0,0.01832208293153327,0.32883317261330763,0.3520539152759949,0.9646066385475884,0.10398167865322029,0.9676965727831572,0.10325846759612681,768.96240234375
Width gate,0.13999999999999999,0,0.019286403085824494,0.39633558341369335,0.3120759215110948,0.9661195672107097,0.1030977540278838,0.9689019245449797,0.1400216963317128,822.9754028320312
Linear score gate,0.13999999999999999,0,0.019286403085824494,0.40405014464802314,0.31441408399046394,0.9660737208875848,0.1031781108120053,0.968861746152919,0.1400216963317128,839.6924438476562
Anomaly trigger,0.13999999999999999,0,0.019286403085824494,0.390549662487946,0.3622776453328443,0.9659361819182102,0.09743260074731809,0.9686206758005544,0.1400216963317128,786.7899780273438
Random gate,0.13999999999999999,0,0.015429122468659595,0.32304725168756027,0.36204841371721985,0.9637814047313406,0.1030173972437623,0.967093896902246,0.1404234802523203,773.8618774414062
Width gate,0.18,0,0.019286403085824494,0.3982642237222758,0.3073537502292316,0.9660737208875848,0.10325846759612681,0.968861746152919,0.17999919643215878,826.9863891601562
Linear score gate,0.18,0,0.019286403085824494,0.40405014464802314,0.31400146708234,0.9660737208875848,0.10325846759612681,0.968861746152919,0.17999919643215878,839.96728515625
Anomaly trigger,0.18,0,0.019286403085824494,0.38476374156219867,0.36617458279845955,0.9658903355950853,0.0973522439631966,0.9685804974084937,0.17999919643215878,827.7085571289062
Random gate,0.18,0,0.017357762777242044,0.31822565091610416,0.37630662020905925,0.9641481753163397,0.10173168869781832,0.9673349672546104,0.17883402306239704,782.6315307617188
Width gate,0.22,0,0.019286403085824494,0.39922854387656703,0.30625343847423436,0.9660278745644599,0.10341918116436981,0.9688215677608583,0.2200168749246655,830.7442016601562
Linear score gate,0.22,0,0.019286403085824494,0.4021215043394407,0.3219787273060701,0.9659820282413351,0.1029370404596408,0.9687813893687974,0.2200168749246655,839.36376953125
Anomaly trigger,0.22,0,0.019286403085824494,0.3413693346190935,0.3701173665871997,0.9658903355950853,0.09542368114428061,0.9685804974084937,0.2200168749246655,829.6571655273438
Random gate,0.22,0,0.015429122468659595,0.3076181292189007,0.38662204291215846,0.9640106363469649,0.10044598015187432,0.9673349672546104,0.2171642090883523,788.7979125976562
Width gate,0.26,0,0.019286403085824494,0.4021215043394407,0.30510728039611223,0.9659820282413351,0.10345935955643056,0.9687813893687974,0.25999437502511147,837.6865844726562
Linear score gate,0.26,0,0.019286403085824494,0.3982642237222758,0.337612323491656,0.9658903355950853,0.10112901281690707,0.968701032584676,0.25999437502511147,842.5086669921875
Anomaly trigger,0.26,0,0.019286403085824494,0.33365477338476374,0.37621492756280944,0.9658903355950853,0.09397725903009362,0.9685804974084937,0.25999437502511147,831.246826171875
Random gate,0.26,0,0.01253616200578592,0.3056894889103182,0.3977626994315056,0.9621309370988447,0.10149061834545381,0.9658885451404234,0.260556872513962,796.3553466796875
Width gate,0.30000000000000004,0,0.019286403085824494,0.4030858244937319,0.3033651201173666,0.9659361819182102,0.1035798947326128,0.9687412109767367,0.3000120535176182,846.1033325195312
Linear score gate,0.30000000000000004,0,0.019286403085824494,0.39633558341369335,0.34238034109664406,0.9658444892719604,0.09895937964562658,0.9686608541926152,0.3000120535176182,849.0266723632812
Anomaly trigger,0.30000000000000004,0,0.019286403085824494,0.32594021215043395,0.3836420319090409,0.9658903355950853,0.09325404797300012,0.9685804974084937,0.3000120535176182,837.3312377929688
Random gate,0.30000000000000004,0,0.013500482160077145,0.29026036644165865,0.40858243168897856,0.962360168714469,0.10052633693599582,0.9660894371007273,0.29776206356221624,804.6170043945312
Width gate,0.34,0,0.019286403085824494,0.39922854387656703,0.30941683476985143,0.9658903355950853,0.10341918116436981,0.968701032584676,0.3399895536180642,852.336181640625
Linear score gate,0.34,0,0.019286403085824494,0.39151398264223725,0.34623143223913444,0.9658444892719604,0.09795491984410784,0.9686608541926152,0.3399895536180642,855.922119140625
