family,param,seed,unsafe_rate,missed_urgent,false_urgent,false_maint,action_acc,approval_load,escalation_rate,rmse
Anomaly trigger,0.26,0,0.015429122468659595,0.46962391513982643,0.19878965706950302,0.9978910691362552,0.0821648117642332,0.9970267989875046,0.25999437502511147,976.49560546875
Random gate,0.26,0,0.01639344262295082,0.47155255544840885,0.19269209609389326,0.9654318723638364,0.11097271887179075,0.9682188918799469,0.260556872513962,873.2449340820312
Width gate,0.30000000000000004,0,0.0,0.5371263259402121,0.15418118466898956,0.9959196772418852,0.08164249266744344,0.9963839447145325,0.3000120535176182,976.6947631835938
Linear score gate,0.30000000000000004,0,0.006750241080038573,0.5313404050144648,0.19865211810012837,0.9968824500275077,0.0804773192976817,0.99678572863514,0.3000120535176182,1016.1749877929688
Anomaly trigger,0.30000000000000004,0,0.024108003857280617,0.47540983606557374,0.20181551439574547,0.9974784522281313,0.08099963839447145,0.9962634095383502,0.3000120535176182,987.2846069335938
Random gate,0.30000000000000004,0,0.01639344262295082,0.4686595949855352,0.19553456812763617,0.9600220062350999,0.11507091486198723,0.9633573064405963,0.29776206356221624,887.4424438476562
Width gate,0.34,0,0.0,0.5313404050144648,0.16014120667522463,0.9952319823950119,0.0821648117642332,0.9957812688336213,0.3399895536180642,979.0223388671875
Linear score gate,0.34,0,0.007714561234329798,0.523625843780135,0.20818815331010454,0.9963322941500091,0.07830768612640122,0.9962232311462895,0.3399895536180642,1025.9169921875
Anomaly trigger,0.34,0,0.03567984570877531,0.46769527483124396,0.20722538052448194,0.9934898221162662,0.0824862389007192,0.9920848567640324,0.3399895536180642,991.8195190429688
Random gate,0.34,0,0.017357762777242044,0.46287367405978785,0.20626260773885935,0.9552539886301119,0.1186869701474547,0.9586966129615493,0.3356101088834425,900.9614868164062
Width gate,0.38,0,0.0,0.5168756027000965,0.16541353383458646,0.9945442875481386,0.08300855799750893,0.9951384145606493,0.3800072321105709,980.7249145507812
Linear score gate,0.38,0,0.007714561234329798,0.5149469623915139,0.21781588116633047,0.9956445993031359,0.07641930169954599,0.9955803768733176,0.3800072321105709,1030.478759765625
Anomaly trigger,0.38,0,0.044358727097396335,0.4484088717454195,0.21291032459196774,0.9827617825050431,0.09120494997790188,0.9823215074932701,0.3800072321105709,995.3118286132812
Random gate,0.38,0,0.023143683702989394,0.4541947926711668,0.21103062534384742,0.9505776636713735,0.12178070633613243,0.9543171682269276,0.38245811402627666,913.934814453125
Width gate,0.42000000000000004,0,0.0009643201542912247,0.506268081002893,0.17270309921144325,0.9938107463781405,0.08268713086102294,0.9944152035035558,0.4199847322110169,995.3831176757812
Linear score gate,0.42000000000000004,0,0.007714561234329798,0.5014464802314368,0.22162112598569594,0.9949569044562626,0.07662019365984973,0.9949375226003455,0.4199847322110169,1033.291748046875
Anomaly trigger,0.42000000000000004,0,0.04532304725168756,0.43876567020250723,0.21850357601320375,0.9729048230331927,0.09907991482180883,0.9736429748081482,0.4199847322110169,998.65869140625
Random gate,0.42000000000000004,0,0.019286403085824494,0.45805207328833175,0.2139189437007152,0.9466348798826334,0.12310659327413717,0.9502993290208526,0.42307846839969465,922.2152099609375
Width gate,0.46,0,0.0019286403085824494,0.49662487945998074,0.19172932330827067,0.993581514762516,0.0812808871388967,0.9941741331511913,0.46000241070352366,1019.8956909179688
Linear score gate,0.46,0,0.007714561234329798,0.4792671166827387,0.22661837520630845,0.9933522831468916,0.07826750773434048,0.9935312788782193,0.46000241070352366,1036.0723876953125
Anomaly trigger,0.46,0,0.04628736740597879,0.43297974927675986,0.22423436640381442,0.9659361819182102,0.1047852464944353,0.9674555024307927,0.46000241070352366,1004.0570068359375
Random gate,0.46,0,0.02507232401157184,0.45901639344262296,0.22295066935631763,0.942371171832019,0.12676282695166538,0.9462413114227168,0.4577925991401824,941.7152099609375
Width gate,0.5,0,0.0028929604628736743,0.4889103182256509,0.21396479002384008,0.9933981294700165,0.08035678412149946,0.9939732411908876,0.49997991080396964,1042.47802734375
Linear score gate,0.5,0,0.007714561234329798,0.46576663452266154,0.229598386209426,0.9917018155143957,0.07955321628028446,0.9920848567640324,0.49997991080396964,1038.0758056640625
Anomaly trigger,0.5,0,0.04628736740597879,0.4262295081967213,0.23170731707317074,0.9628186319457179,0.10695487966571578,0.9647233717706617,0.49997991080396964,1011.5971069335938
Random gate,0.5,0,0.02507232401157184,0.4541947926711668,0.22703099211443242,0.935219145424537,0.13150387721483386,0.9397324119088754,0.49909598617863316,945.9097290039062
Width gate,0.54,0,0.0028929604628736743,0.4802314368370299,0.23101962222629746,0.9926187419768935,0.0803166057294387,0.9932902085258548,0.5399975892964763,1057.5128173828125
Linear score gate,0.54,0,0.008678881388621022,0.4561234329797493,0.23257839721254356,0.9892719603887768,0.08132106553095746,0.9898348668086303,0.5399975892964763,1039.81689453125
Anomaly trigger,0.54,0,0.04628736740597879,0.4146576663452266,0.24009719420502476,0.9613973959288465,0.10816023142753826,0.963397484832657,0.5399975892964763,1021.2758178710938
